 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos 

[    0    0.000            1000               0               0;
     1    0.009            1000               7               0;
     2    0.018            1000              23               0;
     3    0.027            1000              40               0;
     4    0.035            1000              56               1;
     5    0.044            1000              71               2;
     6    0.053            1000              86               4;
     7    0.062            1000              99               7;
     8    0.071            1000             112              10;
     9    0.080            1000             126              14;
    10    0.089            1000             138              19;
    11    0.097            1000             150              26;
    12    0.106            1000             161              33;
    13    0.115            1000             170              43;
    14    0.124            1000             179              54;
    15    0.133            1000             187              66;
    16    0.142            1000             195              79;
    17    0.151            1000             203              94;
    18    0.159            1000             210             109;
    19    0.168            1000             217             125;
    20    0.177            1000             224             141;
    21    0.186            1000             232             158;
    22    0.195            1000             239             175;
    23    0.204            1000             248             192;
    24    0.213            1000             257             210;
    25    0.221            1000             268             229;
    26    0.230            1000             280             247;
    27    0.239            1000             294             265;
    28    0.248            1000             309             283;
    29    0.257            1000             327             300;
    30    0.266            1000             347             315;
    31    0.274            1000             370             330;
    32    0.283            1000             393             344;
    33    0.292            1000             417             357;
    34    0.301            1000             440             370;
    35    0.310            1000             463             384;
    36    0.319            1000             484             398;
    37    0.328            1000             505             412;
    38    0.336            1000             522             426;
    39    0.345            1000             539             439;
    40    0.354            1000             554             453;
    41    0.363            1000             567             467;
    42    0.372            1000             578             482;
    43    0.381            1000             587             497;
    44    0.390            1000             594             514;
    45    0.398            1000             599             530;
    46    0.407            1000             602             547;
    47    0.416            1000             603             562;
    48    0.425            1000             604             575;
    49    0.434            1000             604             586;
    50    0.443            1000             604             596;
    51    0.452            1000             604             603;
    52    0.460            1000             604             609;
    53    0.469            1000             604             612;
    54    0.478            1000             605             614;
    55    0.487            1000             607             615;
    56    0.496            1000             609             615;
    57    0.505            1000             611             615;
    58    0.514            1000             614             614;
    59    0.522            1000             618             612;
    60    0.531            1000             622             611;
    61    0.540            1000             626             611;
    62    0.549            1000             631             611;
    63    0.558            1000             637             611;
    64    0.567            1000             642             611;
    65    0.576            1000             648             611;
    66    0.584            1000             654             611;
    67    0.593            1000             659             611;
    68    0.602            1000             666             613;
    69    0.611            1000             671             613;
    70    0.620            1000             678             613;
    71    0.629            1000             685             614;
    72    0.638            1000             691             614;
    73    0.646            1000             698             615;
    74    0.655            1000             705             616;
    75    0.664            1000             711             617;
    76    0.673            1000             717             619;
    77    0.682            1000             723             620;
    78    0.691            1000             729             622;
    79    0.699            1000             735             624;
    80    0.708            1000             741             627;
    81    0.717            1000             746             630;
    82    0.726            1000             752             633;
    83    0.735            1000             758             638;
    84    0.744            1000             762             643;
    85    0.753            1000             766             648;
    86    0.761            1000             770             655;
    87    0.770            1000             772             662;
    88    0.779            1000             774             669;
    89    0.788            1000             775             677;
    90    0.797            1000             776             684;
    91    0.806            1000             777             691;
    92    0.815            1000             778             697;
    93    0.823            1000             779             701;
    94    0.832            1000             780             704;
    95    0.841            1000             782             705;
    96    0.850            1000             784             706;
    97    0.859            1000             786             706;
    98    0.868            1000             789             706;
    99    0.877            1000             791             706;
   100    0.885            1000             794             706;
   101    0.894            1000             797             706;
   102    0.903            1000             800             706;
   103    0.912            1000             803             706;
   104    0.921            1000             806             706;
   105    0.930            1000             809             706;
   106    0.939            1000             812             706;
   107    0.947            1000             815             706;
   108    0.956            1000             819             706;
   109    0.965            1000             822             706;
   110    0.974            1000             826             706;
   111    0.983            1000             830             706;
   112    0.992            1000             833             706;
   113    1.001            1000             837             706;
   114    1.009            1000             840             706;
   115    1.018            1000             843             706;
   116    1.027            1000             846             707;
   117    1.036            1000             849             707;
   118    1.045            1000             852             708;
   119    1.054            1000             855             709;
   120    1.063            1000             858             710;
   121    1.071            1000             862             711;
   122    1.080            1000             866             713;
   123    1.089            1000             870             716;
   124    1.098            1000             874             718;
   125    1.107            1000             878             721;
   126    1.116            1000             882             725;
   127    1.124            1000             887             730;
   128    1.133            1000             892             736;
   129    1.142            1000             897             743;
   130    1.151            1000             903             751;
   131    1.160            1000             910             759;
   132    1.169            1000             918             768;
   133    1.178            1000             926             778;
   134    1.186            1000             935             788;
   135    1.195            1000             945             799;
   136    1.204            1000             956             811;
   137    1.213            1000             967             824;
   138    1.222            1000             979             837;
   139    1.231            1000             990             849;
   140    1.240            1000            1001             861;
   141    1.248            1000            1010             872;
   142    1.257            1000            1017             883;
   143    1.266            1000            1024             894;
   144    1.275            1000            1030             904;
   145    1.284            1000            1034             915;
   146    1.293            1000            1038             926;
   147    1.302            1000            1041             935;
   148    1.310            1000            1042             945;
   149    1.319            1000            1044             953;
   150    1.328            1000            1045             961;
   151    1.337            1000            1045             969;
   152    1.346            1000            1045             975;
   153    1.355            1000            1045             979;
   154    1.364            1000            1045             982;
   155    1.372            1000            1045             984;
   156    1.381            1000            1045             984;
   157    1.390            1000            1045             984;
   158    1.399            1000            1045             981;
   159    1.408            1000            1045             979;
   160    1.417            1000            1045             978;
   161    1.426            1000            1046             977;
   162    1.434            1000            1046             977;
   163    1.443            1000            1046             977;
   164    1.452            1000            1046             977;
   165    1.461            1000            1046             977;
   166    1.470            1000            1046             977;
   167    1.479            1000            1046             977;
   168    1.488            1000            1046             977;
   169    1.496            1000            1046             977;
   170    1.505            1000            1046             977;
   171    1.514            1000            1046             977;
   172    1.523            1000            1046             977;
   173    1.532            1000            1046             977;
   174    1.541            1000            1046             977;
   175    1.549            1000            1046             977;
   176    1.558            1000            1046             977;
   177    1.567            1000            1046             977;
   178    1.576            1000            1046             977;
   179    1.585            1000            1046             977;
   180    1.594            1000            1046             977;
   181    1.603            1000            1046             977;
   182    1.611            1000            1046             977;
   183    1.620            1000            1046             977;
   184    1.629            1000            1046             977;
   185    1.638            1000            1046             977;
   186    1.647            1000            1046             977;
   187    1.656            1000            1046             977;
   188    1.665            1000            1046             977;
   189    1.673            1000            1046             977;
   190    1.682            1000            1047             977;
   191    1.691            1000            1047             977;
   192    1.700            1000            1047             977;
   193    1.709            1000            1047             977;
   194    1.718            1000            1047             977;
   195    1.727            1000            1048             977;
   196    1.735            1000            1048             977;
   197    1.744            1000            1048             977;
   198    1.753            1000            1048             977;
   199    1.762            1000            1048             977;
   200    1.771            1000            1049             977;
   201    1.780            1000            1049             977;
   202    1.789            1000            1049             977;
   203    1.797            1000            1049             977;
   204    1.806            1000            1049             977;
   205    1.815            1000            1049             977;
