 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos 

[    0    0.000            1000               0               0               0;
     1    0.009            1000               8               0               0;
     2    0.018            1000              30               0               0;
     3    0.027            1000              50               0               0;
     4    0.035            1000              69               2               0;
     5    0.044            1000              86               3               0;
     6    0.053            1000             100               4               0;
     7    0.062            1000             112               7               0;
     8    0.071            1000             123              11               0;
     9    0.080            1000             129              14               0;
    10    0.089            1000             135              18               0;
    11    0.097            1000             138              24               0;
    12    0.106            1000             141              29               0;
    13    0.115            1000             142              36               0;
    14    0.124            1000             143              43               0;
    15    0.133            1000             144              52               0;
    16    0.142            1000             145              61               0;
    17    0.151            1000             149              70               0;
    18    0.159            1000             153              80               0;
    19    0.168            1000             159              91               0;
    20    0.177            1000             167             102               0;
    21    0.186            1000             178             112               0;
    22    0.195            1000             191             123               0;
    23    0.204            1000             207             133               0;
    24    0.213            1000             225             143               0;
    25    0.221            1000             245             154               0;
    26    0.230            1000             266             165               0;
    27    0.239            1000             288             176               0;
    28    0.248            1000             312             188               0;
    29    0.257            1000             337             202               0;
    30    0.266            1000             361             216               0;
    31    0.274            1000             384             233               0;
    32    0.283            1000             405             252               0;
    33    0.292            1000             424             272               0;
    34    0.301            1000             442             294               0;
    35    0.310            1000             457             316               0;
    36    0.319            1000             470             339               0;
    37    0.328            1000             481             364               0;
    38    0.336            1000             491             389               0;
    39    0.345            1000             499             414               0;
    40    0.354            1000             505             439               0;
    41    0.363            1000             510             464               0;
    42    0.372            1000             514             487               0;
    43    0.381            1000             518             510               0;
    44    0.390            1000             523             531               0;
    45    0.398            1000             528             550               0;
    46    0.407            1000             533             568               0;
    47    0.416            1000             541             583               0;
    48    0.425            1000             551             595               0;
    49    0.434            1000             562             603               0;
    50    0.443            1000             575             608               0;
    51    0.452            1000             589             609               0;
    52    0.460            1000             604             609               0;
    53    0.469            1000             619             608               0;
    54    0.478            1000             632             604               0;
    55    0.487            1000             644             600               0;
    56    0.496            1000             653             597               0;
    57    0.505            1000             660             595               0;
    58    0.514            1000             664             594               0;
    59    0.522            1000             666             594               0;
    60    0.531            1000             666             594               0;
    61    0.540            1000             666             596               0;
    62    0.549            1000             666             597               0;
    63    0.558            1000             666             598               0;
    64    0.567            1000             666             599               0;
    65    0.576            1000             666             599               0;
    66    0.584            1000             666             599               0;
    67    0.593            1000             666             599               0;
    68    0.602            1000             666             599               0;
    69    0.611            1000             666             599               0;
    70    0.620            1000             666             599               0;
    71    0.629            1000             666             599               0;
