 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos 

[    0    0.000            1000               0               0;
     1    0.009            1000              11               0;
     2    0.018            1000              26               0;
     3    0.027            1000              44               0;
     4    0.035            1000              61               0;
     5    0.044            1000              78               2;
     6    0.053            1000              94               4;
     7    0.062            1000             111               7;
     8    0.071            1000             127              10;
     9    0.080            1000             143              14;
    10    0.089            1000             158              19;
    11    0.097            1000             172              24;
    12    0.106            1000             184              31;
    13    0.115            1000             195              40;
    14    0.124            1000             204              49;
    15    0.133            1000             212              60;
    16    0.142            1000             219              73;
    17    0.151            1000             225              87;
    18    0.159            1000             230             101;
    19    0.168            1000             234             117;
    20    0.177            1000             237             134;
    21    0.186            1000             240             152;
    22    0.195            1000             243             171;
    23    0.204            1000             247             190;
    24    0.213            1000             253             208;
    25    0.221            1000             261             226;
    26    0.230            1000             270             242;
    27    0.239            1000             282             256;
    28    0.248            1000             298             270;
    29    0.257            1000             316             282;
    30    0.266            1000             337             293;
    31    0.274            1000             360             303;
    32    0.283            1000             386             313;
    33    0.292            1000             412             324;
    34    0.301            1000             438             335;
    35    0.310            1000             463             346;
    36    0.319            1000             487             358;
    37    0.328            1000             510             371;
    38    0.336            1000             532             385;
    39    0.345            1000             553             400;
    40    0.354            1000             570             416;
    41    0.363            1000             585             433;
    42    0.372            1000             596             451;
    43    0.381            1000             604             471;
    44    0.390            1000             609             491;
    45    0.398            1000             611             512;
    46    0.407            1000             611             532;
    47    0.416            1000             611             551;
    48    0.425            1000             611             569;
    49    0.434            1000             611             585;
    50    0.443            1000             611             600;
    51    0.452            1000             611             612;
    52    0.460            1000             612             623;
    53    0.469            1000             614             632;
    54    0.478            1000             617             639;
    55    0.487            1000             620             644;
    56    0.496            1000             624             646;
    57    0.505            1000             629             646;
    58    0.514            1000             634             646;
    59    0.522            1000             639             642;
    60    0.531            1000             645             640;
    61    0.540            1000             651             637;
    62    0.549            1000             657             636;
    63    0.558            1000             662             635;
    64    0.567            1000             668             635;
    65    0.576            1000             674             635;
    66    0.584            1000             680             637;
    67    0.593            1000             686             637;
    68    0.602            1000             693             639;
    69    0.611            1000             700             640;
    70    0.620            1000             707             641;
    71    0.629            1000             714             642;
    72    0.638            1000             722             642;
    73    0.646            1000             730             643;
    74    0.655            1000             738             643;
    75    0.664            1000             746             643;
    76    0.673            1000             752             643;
    77    0.682            1000             758             644;
    78    0.691            1000             762             644;
    79    0.699            1000             764             645;
    80    0.708            1000             765             646;
    81    0.717            1000             765             647;
    82    0.726            1000             765             648;
    83    0.735            1000             765             648;
    84    0.744            1000             765             648;
    85    0.753            1000             765             648;
    86    0.761            1000             765             649;
    87    0.770            1000             765             649;
    88    0.779            1000             765             649;
    89    0.788            1000             765             649;
    90    0.797            1000             765             649;
    91    0.806            1000             765             649;
    92    0.815            1000             766             649;
    93    0.823            1000             767             649;
    94    0.832            1000             768             650;
    95    0.841            1000             769             650;
    96    0.850            1000             770             650;
    97    0.859            1000             770             650;
    98    0.868            1000             771             650;
    99    0.877            1000             773             650;
   100    0.885            1000             774             650;
   101    0.894            1000             775             650;
   102    0.903            1000             777             650;
   103    0.912            1000             778             650;
   104    0.921            1000             781             651;
   105    0.930            1000             782             651;
   106    0.939            1000             784             652;
   107    0.947            1000             786             652;
   108    0.956            1000             788             653;
   109    0.965            1000             791             653;
   110    0.974            1000             794             654;
   111    0.983            1000             798             655;
   112    0.992            1000             802             655;
   113    1.001            1000             807             656;
   114    1.009            1000             813             657;
   115    1.018            1000             819             659;
   116    1.027            1000             826             660;
   117    1.036            1000             834             662;
   118    1.045            1000             843             665;
   119    1.054            1000             854             668;
   120    1.063            1000             865             672;
   121    1.071            1000             877             676;
   122    1.080            1000             889             682;
   123    1.089            1000             902             687;
   124    1.098            1000             916             694;
   125    1.107            1000             930             701;
   126    1.116            1000             944             708;
   127    1.124            1000             957             717;
   128    1.133            1000             968             728;
   129    1.142            1000             977             740;
   130    1.151            1000             985             755;
   131    1.160            1000             991             771;
   132    1.169            1000             995             789;
   133    1.178            1000             998             808;
   134    1.186            1000            1000             827;
   135    1.195            1000            1001             847;
   136    1.204            1000            1002             866;
   137    1.213            1000            1002             886;
   138    1.222            1000            1002             905;
   139    1.231            1000            1002             923;
   140    1.240            1000            1002             940;
   141    1.248            1000            1003             954;
   142    1.257            1000            1006             967;
   143    1.266            1000            1009             976;
   144    1.275            1000            1012             982;
   145    1.284            1000            1017             984;
   146    1.293            1000            1023             984;
   147    1.302            1000            1030             981;
   148    1.310            1000            1038             976;
   149    1.319            1000            1046             971;
   150    1.328            1000            1055             966;
   151    1.337            1000            1062             962;
   152    1.346            1000            1069             960;
   153    1.355            1000            1074             959;
   154    1.364            1000            1077             959;
   155    1.372            1000            1079             961;
   156    1.381            1000            1080             963;
   157    1.390            1000            1080             965;
   158    1.399            1000            1080             967;
   159    1.408            1000            1079             968;
   160    1.417            1000            1078             969;
   161    1.426            1000            1077             969;
   162    1.434            1000            1077             969;
   163    1.443            1000            1077             969;
   164    1.452            1000            1077             969;
   165    1.461            1000            1077             969;
   166    1.470            1000            1077             969;
   167    1.479            1000            1077             969;
   168    1.488            1000            1077             969;
   169    1.496            1000            1077             969;
   170    1.505            1000            1077             969;
   171    1.514            1000            1077             969;
   172    1.523            1000            1077             969;
   173    1.532            1000            1077             969;
   174    1.541            1000            1077             969;
   175    1.549            1000            1077             969;
   176    1.558            1000            1077             969;
   177    1.567            1000            1077             969;
   178    1.576            1000            1077             969;
   179    1.585            1000            1077             969;
   180    1.594            1000            1077             969;
   181    1.603            1000            1077             969;
   182    1.611            1000            1077             969;
   183    1.620            1000            1077             969;
   184    1.629            1000            1077             969;
   185    1.638            1000            1077             969;
   186    1.647            1000            1077             969;
   187    1.656            1000            1077             969;
   188    1.665            1000            1077             969;
   189    1.673            1000            1077             969;
   190    1.682            1000            1077             969;
   191    1.691            1000            1077             969;
   192    1.700            1000            1077             969;
   193    1.709            1000            1077             969;
   194    1.718            1000            1077             969;
   195    1.727            1000            1077             969;
   196    1.735            1000            1077             969;
   197    1.744            1000            1077             969;
   198    1.753            1000            1077             969;
   199    1.762            1000            1077             969;
   200    1.771            1000            1077             969;
   201    1.780            1000            1077             969;
   202    1.789            1000            1077             969;
   203    1.797            1000            1077             969;
   204    1.806            1000            1077             969;
   205    1.815            1000            1077             969;
