 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               1              -1               3          0.5000;
     1    0.009               1              10               3          0.5000;
     2    0.018               1              43               3          0.5000;
     3    0.027               1              98               3          0.5000;
     4    0.035               1             172               3          0.5000;
     5    0.044               1             265               3          0.5000;
     6    0.053               1             371               3          0.5000;
     7    0.062               1             491               3          0.5000;
     8    0.071               1             621               3          0.5000;
     9    0.080               1             760               3          0.5000;
    10    0.089               1             903               3          0.5000;
    11    0.097               1            1049               3          0.5000;
    12    0.106               1            1191               3          0.5000;
    13    0.115               1            1333               3          0.5000;
    14    0.124               1            1466               3          0.5000;
    15    0.133               1            1591               3          0.5000;
    16    0.142               1            1703               3          0.5000;
    17    0.151               1            1803               3          0.5000;
    18    0.159               1            1885               3          0.5000;
    19    0.168               1            1950               3          0.5000;
    20    0.177               1            1994               3          0.5000;
    21    0.186               1            2018               3          0.5000;
    22    0.195               1            2023               2          0.5000;
    23    0.204               1            2006               2          0.5000;
    24    0.213               1            1971               2          0.5000;
    25    0.221               1            1920               2          0.5000;
    26    0.230               1            1856               2          0.5000;
    27    0.239               1            1779               2          0.5000;
    28    0.248               1            1693               2          0.5000;
    29    0.257               1            1600               2          0.5000;
    30    0.266               1            1502               2          0.5000;
    31    0.274               1            1401               2          0.5000;
    32    0.283               1            1299               2          0.5000;
    33    0.292               1            1199               2          0.5000;
    34    0.301               1            1102               2          0.5000;
    35    0.310               1            1012               2          0.5000;
    36    0.319               1             929               2          0.5000;
    37    0.328               1             856               2          0.5000;
    38    0.336               1             793               2          0.5000;
    39    0.345               1             741               2          0.5000;
    40    0.354               1             703               2          0.5000;
    41    0.363               1             680               2          0.5000;
    42    0.372               1             672               2          0.5000;
    43    0.381               1             677               2          0.5000;
    44    0.390               1             696               2          0.5000;
    45    0.398               1             727               2          0.5000;
    46    0.407               1             766               2          0.5000;
    47    0.416               1             813               2          0.5000;
    48    0.425               1             866               2          0.5000;
    49    0.434               1             925               2          0.5000;
    50    0.443               1             988               2          0.5000;
    51    0.452               1            1053               2          0.5000;
    52    0.460               1            1119               2          0.5000;
    53    0.469               1            1184               2          0.5000;
    54    0.478               1            1247               2          0.5000;
    55    0.487               1            1307               2          0.5000;
    56    0.496               1            1363               2          0.5000;
    57    0.505               1            1413               2          0.5000;
    58    0.514               1            1456               2          0.5000;
    59    0.522               1            1491               2          0.5000;
    60    0.531               1            1518               2          0.5000;
    61    0.540               1            1536               2          0.5000;
    62    0.549               1            1543               2          0.5000;
    63    0.558               1            1544               2          0.5000;
    64    0.567               1            1534               2          0.5000;
    65    0.576               1            1518               2          0.5000;
    66    0.584               1            1496               2          0.5000;
    67    0.593               1            1469               2          0.5000;
    68    0.602               1            1439               2          0.5000;
    69    0.611               1            1406               2          0.5000;
    70    0.620               1            1371               2          0.5000;
    71    0.629               1            1335               2          0.5000;
    72    0.638               1            1299               2          0.5000;
    73    0.646               1            1264               2          0.5000;
    74    0.655               1            1230               2          0.5000;
    75    0.664               1            1199               2          0.5000;
    76    0.673               1            1170               2          0.5000;
    77    0.682               1            1145               2          0.5000;
    78    0.691               1            1124               2          0.5000;
    79    0.699               1            1108               2          0.5000;
    80    0.708               1            1096               2          0.5000;
    81    0.717               1            1088               2          0.5000;
    82    0.726               1            1085               2          0.5000;
    83    0.735               1            1086               2          0.5000;
    84    0.744               1            1091               2          0.5000;
    85    0.753               1            1098               2          0.5000;
    86    0.761               1            1108               2          0.5000;
    87    0.770               1            1119               2          0.5000;
    88    0.779               1            1130               2          0.5000;
    89    0.788               1            1142               2          0.5000;
    90    0.797               1            1154               2          0.5000;
    91    0.806               1            1166               2          0.5000;
    92    0.815               1            1178               2          0.5000;
    93    0.823               1            1188               2          0.5000;
    94    0.832               1            1198               2          0.5000;
    95    0.841               1            1206               2          0.5000;
    96    0.850               1            1213               2          0.5000;
    97    0.859               1            1218               2          0.5000;
    98    0.868               1            1222               2          0.5000;
    99    0.877               1            1225               2          0.5000;
   100    0.885               1            1226               2          0.5000;
   101    0.894               1            1226               2          0.5000;
   102    0.903               1            1226               2          0.5000;
   103    0.912               1            1226               2          0.5000;
   104    0.921               1            1225               2          0.5000;
   105    0.930               1            1224               2          0.5000;
   106    0.939               1            1223               2          0.5000;
   107    0.947               1            1223               2          0.5000;
   108    0.956               1            1223               2          0.5000;
   109    0.965               1            1223               2          0.5000;
   110    0.974               1            1223               2          0.5000;
   111    0.983               1            1223               2          0.5000;
   112    0.992               1            1223               1          0.5000;
   113    1.001               1            1223               1          0.5000;
   114    1.009               1            1223               1          0.5000;
   115    1.018               1            1223               1          0.5000;
   116    1.027               1            1223               1          0.5000;
   117    1.036               1            1223               0          0.5000;
   118    1.045               1            1223               0          0.5000;
   119    1.054               1            1223               0          0.5000;
