 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               0              93             147          0.0000;
     1    0.009               0              93             148          0.0000;
     2    0.018               0              93             149          0.0000;
     3    0.027               0              93             150          0.0000;
     4    0.035               0              93             150          0.0000;
     5    0.044               0              93             152          0.0000;
     6    0.053               0              93             153          0.0000;
     7    0.062               0              93             154          0.0000;
     8    0.071               0              93             156          0.0000;
     9    0.080               0              93             158          0.0000;
    10    0.089               0              93             161          0.0000;
    11    0.097               0              93             165          0.0000;
    12    0.106               0              93             170          0.0000;
    13    0.115               0              93             177          0.0000;
    14    0.124               0              93             185          0.0000;
    15    0.133               0              93             194          0.0000;
    16    0.142               0              93             205          0.0000;
    17    0.151               0              93             216          0.0000;
    18    0.159               0              94             230          0.0000;
    19    0.168               0              94             245          0.0000;
    20    0.177               0              94             262          0.0000;
    21    0.186               0              94             283          0.0000;
    22    0.195               0              94             309          0.0000;
    23    0.204               0              94             342          0.0000;
    24    0.213               0              94             377          0.0000;
    25    0.221               0              94             418          0.0000;
    26    0.230               0              94             464          0.0000;
    27    0.239               0              94             516          0.0000;
    28    0.248               0              94             573          0.0000;
    29    0.257               0              95             639          0.0000;
    30    0.266               0              96             706          0.0000;
    31    0.274               0              97             776          0.0000;
    32    0.283               0              97             851          0.0000;
    33    0.292               0              97             930          0.0000;
    34    0.301               0              99            1013          0.0000;
    35    0.310               0             100            1098          0.0000;
    36    0.319               0             101            1187          0.0000;
    37    0.328               0             102            1278          0.0000;
    38    0.336               0             103            1372          0.0000;
    39    0.345               0             103            1468          0.0000;
    40    0.354               0             103            1569          0.0000;
    41    0.363               0             105            1677          0.0000;
    42    0.372               0             106            1780          0.0000;
    43    0.381               0             107            1884          0.0000;
    44    0.390               0             107            1988          0.0000;
    45    0.398               0             107            2090          0.0000;
    46    0.407               0             107            2191          0.0000;
    47    0.416               0             107            2294          0.0000;
    48    0.425               0             107            2393          0.0000;
    49    0.434               0             108            2490          0.0000;
    50    0.443               0             108            2587          0.0000;
    51    0.452               0             108            2678          0.0000;
    52    0.460               0             109            2764          0.0000;
    53    0.469               0             110            2844          0.0000;
    54    0.478               0             111            2915          0.0000;
    55    0.487               0             111            2979          0.0000;
    56    0.496               0             115            3038          0.0000;
    57    0.505               0             116            3093          0.0000;
    58    0.514               0             116            3145          0.0000;
    59    0.522               0             116            3200          0.0000;
    60    0.531               0             116            3248          0.0000;
    61    0.540               0             116            3296          0.0000;
    62    0.549               0             115            3342          0.0000;
